state,year,gini,bachelors_or_higher_percent,management_percent,income_median,income_mean,population,male_percent,age_median,white_percent,population_density,search_interest
Wisconsin,2006,42.399999499321,25.1,31.758833788870128,48772,6.0859,5556506,49.64607254990816,37.6,87.45943943910076,1.0258069939277095,49.8
Wyoming,2006,41.2999987602234,22.7,30.146185104229318,47423,5.9583,515004,50.332618775776496,37.5,91.8317139284355,0.05304466186941928,37.7
Alabama,2007,47.0999985933304,21.4,30.8,40554,5.5552,4627851,48.4,37.3,71.2,0.9137438849290149,35.6
Alaska,2007,40.900000929832494,26,34.3,64333,7.8765,683478,52.3,33.3,73.1,0.011969359712332619,53.4
Arizona,2007,44.800001382827794,25.3,33,49889,6.6132,6338755,50.1,34.9,78.3,0.5577211067855329,55.4
Arkansas,2007,46.2000012397766,19.3,30,38134,5.1748,2834797,48.9,37,79.9,0.5452286252431232,38
California,2007,46.900001168251,29.5,35.5,59948,8.1939,36553215,50,34.7,62.4,2.345281547346616,70
Colorado,2007,45.1999992132187,35,37.4,55212,7.3037,4861515,50.4,35.7,85.8,0.46909032512980403,60.3
Connecticut,2007,48.1000006198883,34.7,39.2,65967,9.2686,3502309,48.7,39.1,81.2,7.232628399059013,60.3
Delaware,2007,43.5000002384186,26.1,36.2,54610,7.107,864764,48.4,37.8,73.8,4.437978228210732,59.9
District of Columbia,2007,54.1999995708466,47.5,55.4,54317,8.8335,588292,47.1,34.9,36.3,96.24220495732868,65.3
Florida,2007,46.900001168251,25.8,32.3,47804,6.6414,18251243,49.1,40,77.6,3.401692326193029,39.1
Georgia,2007,46.399998664856,27.1,34.1,49136,6.6521,9544750,49.2,34.8,62.8,1.6537124386658326,45.7
Hawaii,2007,42.1999990940094,29.2,33.8,63746,7.9749,1283388,50.3,38.1,34.3,1.9982747700721024,66.9
Idaho,2007,43.5999989509583,24.5,32.6,46253,6.0595,1499402,50.2,34.3,94.5,0.18142651688720082,47.3
Illinois,2007,46.599999070167506,29.5,34.3,54124,7.3275,12852548,49.3,35.9,71.6,2.3152232200851914,52.3
Indiana,2007,42.8999990224838,22.1,30.4,47448,6.0139,6345289,49.3,36.5,87.2,1.7711322113308001,50.6
Iowa,2007,42.599999904632604,24.3,32.6,47292,5.9451,2988047,49.3,38,93.9,0.5349800309986203,50.4
Kansas,2007,44.400000572204604,28.8,35.4,47451,6.3035,2775997,49.5,36.3,87.8,0.3395359148538677,42
Kentucky,2007,46.500000357627904,20,30.7,40267,5.4376,4241474,48.9,37.4,90.3,1.0740168661963125,51.2
Louisiana,2007,47.799998521804795,20.4,30,40926,5.671,4293204,48.6,35.7,65,0.9935506110226965,32.5
Maine,2007,43.9999997615814,26.7,33.7,45888,5.9238,1317207,48.7,41.7,97,0.4270402591313177,69
Maryland,2007,44.200000166893,35.2,42.8,68080,8.8541,5618344,48.3,37.4,61.8,5.7854041865102195,60.9
Massachusetts,2007,46.700000762939496,37.9,42.7,62365,8.3337,6449755,48.5,38.5,84.2,8.267900480317598,58.4
Michigan,2007,44.800001382827794,24.7,33,47950,6.2922,10071822,49.2,37.6,81,1.7792115687322474,55.9
Minnesota,2007,43.5999989509583,31,37.4,55802,7.1821,5197621,49.8,37.1,89.6,0.6527471808109993,55.8
Mississippi,2007,47.9999989271164,18.9,28.5,36338,5.1022,2918785,48.4,35.4,60.3,0.622017087211704,39.2
Missouri,2007,44.9999988079071,24.5,32.6,45114,5.9498,5878415,48.7,37.5,85.5,0.8550870769211749,45.3
Montana,2007,44.2999988794327,27,32.4,43531,5.6165,957861,50,39.1,91.8,0.06580958856416826,54.6
Nebraska,2007,42.8999990224838,27.5,34.5,47085,5.9801,1774571,49.5,36.1,91,0.23101016202419639,40.2
Nevada,2007,43.7000006437302,21.8,26.6,55062,7.2518,2565382,50.8,35.7,76.2,0.23351276290627435,57.5
New Hampshire,2007,41.6999995708466,32.5,37.7,62369,7.8062,1315828,49.2,39.8,96,1.4695825545030925,59.9
New Jersey,2007,46.399998664856,33.9,38.9,67035,9.0463,8685920,49,38.4,70.7,11.809821228517038,51.5
New Mexico,2007,45.8999991416931,24.8,34.1,41452,5.617,1969915,49.6,36,71,0.16238318892979184,59.3
New York,2007,50,31.7,37.2,53514,7.7865,19297729,48.5,37.7,67.3,4.095144597093512,70.4
North Carolina,2007,46.500000357627904,25.6,33.8,44670,6.0672,9061032,48.8,36.8,71.1,1.863522990286582,52.3
North Dakota,2007,43.9999997615814,25.7,34.4,43753,5.6113,639715,50.5,37.1,92.3,0.09272003327053939,37.3
Ohio,2007,44.800001382827794,24.1,32.9,46597,6.0917,11466917,48.7,37.8,85.4,2.806478300293723,46.3
Oklahoma,2007,46.2999999523163,22.8,31.9,41567,5.652,3617316,49.6,36.1,79.9,0.527332341070703,41
Oregon,2007,44.200000166893,28.3,33.9,48730,6.3056,3747455,49.6,37.9,88.8,0.3903762936539218,93.6
Pennsylvania,2007,46.000000834465,25.8,34.4,48576,6.5102,12432792,48.7,39.7,84.9,2.778761433085963,52.2
Rhode Island,2007,45.699998736381495,29.8,35.4,53568,7.0208,1057832,48.3,38.3,84.6,10.23156991645486,70.8
South Carolina,2007,45.8999991416931,23.5,31.6,43329,5.8011,4407709,48.5,37.4,68.2,1.4660936054478215,42.8
South Dakota,2007,42.3000007867813,25,33.4,43424,5.4972,796215,50,37.1,89,0.1050298831791864,36.4
Tennessee,2007,47.0999985933304,21.8,30.2,42367,5.8164,6156719,48.8,37.5,80.1,1.4931675870674948,44.6
